Entered by,CASE STUDY,Organisation,INITIAL CONTACT,Focus Area,Category,Country,Contact Information,Website,Website Active?,Instagram,Instagram Active 2025/26?,Year Established,Trading Status,Ownership,Core model,Company Size data,Customers,Geographic scope,Categories,Partners,Partner Category,Data (Plastic saved),Data (Co2 Reduction),Key Facts,Anything else,Comments
Kaat,,Numafa,not suitable currently,Supporting Reusable Packaging,Cleaning systems,Netherlands,info@numafa.com,https://shorturl.at/nQSlM,Yes,,,,Active,Private,"B2B cleaning systems for reusable packaging (buckets, bins, crates, containers)",,,Netherlands,,,,,,,,"Builds cleaning systems for Reusable Packaging e.g. buckets, bins, crates, containers"
Giulia ,,Nuud ,not suitable currently,Refillable products ,Consumer products ,Sweden,info@nuud.se, https://nuudcare.co.uk/,Yes,nuudcare,Yes,2018,Active,Private,B2C natural ultra-concentrate refillable deodorant,,,Sweden and global,,,,,,,,"Natural, refillable deodorants to reduce packaging waste."
Jishnu,,O Cantinho do AL,"24/06, Jishnu",Refillable Products,Consumer Goods,Portugal,geral@ocantinhodoal.pt,https://www.ocantinhodoal.pt/en/loja-virtual/aromadeportugal/,Yes,,,,Active,Private,5L refill containers of shower gel and shampoo for hotels and homes,,,Portugal,,,,,,,,Provides 5 L refill containers of shower gel and shampoo for clients to refill dispensers in hotels or homes in eco-friendly style.
Jishnu,,O Granel da Sofia,"24/06, Jishnu",Refill Stations,Consumer Goods,Portugal,geral@ograneldasofia.pt,https://www.ograneldasofia.pt/,,,,,,,,,,,,,,,,,,"Bulk grocer and refill hub supplying dry goods, detergents, personal items, and reusable eco accessories for packaging-free shopping."
Jishnu,,Oakland Farms,low priority,Refill Stations,Consumer Goods,New Zealand,office@oaklandsmilk.co.nz,https://www.oaklandsfarm.co.nz/,Yes,,,,Active,Private,Milk bottle refill vending machines,,,New Zealand,,,,,,,,"Provides vending machines where customers can refill their milk bottles, along with a recently closed home delivery and rturn system for milk in glass bottles."
Kaat,,Oasis Packaging Industries,low priority,Reusable Packaging,Packaging Solutions,Pakistan,"Oasis Packaging Industries (Pvt) Ltd. | Lahore, Pakistan|","Oasis Packaging Industries (Pvt) Ltd. | Lahore, Pakistan|",Yes,,,,Active,Private,Reusable and zip-lock flexible packaging solutions,,,Pakistan,,,,,,,,Offers reusable and zip-lock flexible packaging solutions
Sam,,Ocean Lanka,low priority,Reusable Packaging ,Business Service Provider,Sri Lanka,info@oceanlanka.com,https://www.oceanlanka.com/,Yes,,,,Active,Private,B2B textile delivery using reusable tubes collected after use,,,Sri Lanka,,,,,,,,Supply textiles to businesses using reusing large portions of differnt materials and deliver using reusable tubes that are later collected
Jishnu,,OceanSaver,"25/06, Jishnu",Eco-Friendly Household Products,Consumer Goods,United Kingdom,https://www.ocean-saver.com/pages/contact,https://www.ocean-saver.com/,Yes,oceansaveruk,Yes,2019,Active,Private,B2C compostable cleaning pods + reusable spray bottles,,,United Kingdom,,,,,,,,Sells compostable cleaning pods paired with reusable spray bottles to cut single-use plastic in households.
Prathmesh,,Oko Creations,"01/07, Jishnu",Reusable containers,Consumer Goods,Canada,info@okocreations.ca,https://okocreations.ca/en,Yes,,,,Active,Private,Reusable hemp fleece makeup wipes + organic cloths,,,Canada,,,,,,,,Reusable makeup wipes (hemp fleece) and organic cloths—plastic-free living essentials
Kaat,,Okofamilien,"03/07, Jishnu",Refills and Reusable Packaging,Consumer Goods,Denmark ,shop@okofamilien.dk,https://okofamilien.dk,Yes,,,,Active,Private,"Reusable packaging, cosmetics and personal hygiene products store",,,Denmark,,,,,,,,"Sells Reusable Packaging, cosmetics, and personal hygiene products"
Kaat,,OMO,"04/07, Jishnu",Refillable products ,Consumer Goods ,Turkey,https://www.unilever.com/contact/,https://www.unilever.com/brands/home-care/omo/,Yes,,,,Active,Sub-brand (Unilever),Laundry detergent refills at dispensers in retail stores,,,Turkey and global brand,,,,,,,,Big chain for laundry detergent that allows refills for their products at dispensers
Jishnu,,Ong Hut Co,low priority,Zero Waste,Consumer Goods,Vietnam,contact@cuahang3t.org ,https://www.onghutco.com/,,,,,,,,,,,,,,,,,,"Handcrafts reusable biodegradable grass straws from Mekong delta sedge offering plastic free options to cafes, hotels and households."
Jishnu,,OPA,not suitable currently,Reusable Packaging,Consumer Services,Israel,https://www.linkedin.com/company/opaglobal/about/,https://www.linkedin.com/company/opaglobal/about/,No,,,,Active,Private startup,Mobile platform for reusable food delivery packaging — restaurant digital system,,,Israel,,,,,,,,Mobile platform for reusable food delivery packaging where restaurants use returnable containers through a digital system.
Jishnu,,OPACK,low priority,Reusable Packaging,Consumer Services,Malaysia,hello@opackmy.com,https://www.opackmy.com/,Yes,,,,Active,Private,Returnable container-as-a-service for takeaway food and beverages,,,Malaysia,,,,,,,,"Provides returnable container-as-a-service for takeaway food and beverages, facilitating reuse in events, caterings and marathons."
Kaat,,ORBIS Europe,"03/07, Jishnu",Reusable Packaging,Packaging Solutions,Poland,https://orbiseurope.eu/en/contact/,https://orbiseurope.eu/en/,Yes,,,,Active,Subsidiary (ORBIS Corporation),B2B custom reusable packaging tailored to customer needs,,,Poland and Europe,,,,,,,,Develops Reusable Packaging tailored to customer's needs
Julia,,Organic Village,low priority,Bulk refills,Consumer Goods,Thailand,order@organic-village.co.th,https://organic-village.co.th/,Yes,,,,Active,Private,"Organic bulk refill store (soaps, shampoo, detergents in bulk)",,,Thailand,,,,,,,,"Offers organic soaps, shampoo, detergents in bulk—customers refill using reusable containers or buy from store "
Sam,,Otrium ,not suitable currently,Reuse and Circular Economy,Consumer Goods ,Netherlands,https://help.otrium.nl/nl,https://www.otrium.com/women,Yes,otrium,Yes,2016,Active,Private,Off-price fashion platform + garment refurbishment for damaged returns,,,Netherlands and Europe,,,,,,,,Garment refurbishment and repair programme for damaged returns.
Kaat,,Ozarka,not suitable currently,Reusable Packaging,Packaging solutions ,Netherlands,website is broken,https://ozarka.biz,,,,,,,,,,,,,,,,,,Reusable Packaging solutions for hospitality sector 
"Giulia, 30/06",,På(fyll),30/06,Refillable products ,consumer goods ,Norway ,said.molavi@orkla.no ,https://pafyll.com/en-NO ,Yes,,,,Active,Subsidiary (Orkla ASA),HDPE reusable household containers with QR-scan empty pickup and replacement system,,,Norway,,,,,,,,"Offers reusable HDPE containers for household products containers for household products, with a QR scan to schedule pick ups of empty containers which are then replaced with a refill system "
Selina,,Package Free Shop,"02/07, Jishnu",Zero Waste,Consumer Goods,United States,support@packagefreeshop.com,https://packagefreeshop.com/,Yes,packagefreeshop,Yes,2018,Active,Private,B2C zero-waste product marketplace,,,United States,,,,,,,,Sells zero-waste products and focuses on eliminating single-use packaging
"Mehak, 29/06",,Packaging Cluster / Green Impackt,low priority,Eco packaging innovation,"SMEs, packaging manufacturers",Colombia,info@packagingcluster.com,https://packagingcluster.com/,,,,,,,,,,,,,,,,,,Facilitates collaboration between Colombia & EU packaging innovators
Kaat,,PackBack,not suitable currently,Reusable Packaging,Consumer Goods,Netherlands,https://www.packback.network,https://www.packback.network/contact,Yes,,,,Active,Private,Reusable packaging for foodservice and retail with innovative tracking,,,Netherlands,,,,,,,,Reusable Packaging for foodservice and retail innovative ideas to track and reduce waste
Giulia ,,Packoorang,45840,Reusable Packaging ,Reusable Packaging ,Norway ,sales@packoorang.com ,https://packoorang.com/,Yes,,,,Active,Private,Reusable weather-resistant shipping mailers from recycled bottles (100+ uses) + return incentive,,,Norway,,,,,,,,"Produces reusable, weather-resistant shipping mailers made from recycled plastic bottles, with durability for over 100 uses. Provides a return incentive program to encourage reuse."
Kaat,,Pak Packages,low priority,Reusable Packaging,Packaging Solutions,Pakistan,Contact Pak Packages,Pak Packages - Flexible Packaging Company Lahore Pakistan,Yes,,,,Active,Private,B2B reusable resealable pouches,,,Pakistan,,,,,,,,Sells various pouch styles which are reusable and resealable
Kaat,,Pakpet,low priority,Reusable Packaging,Packaging Solutions,Pakistan,info@pakpet.com.pk,Pakpet,,,,,,,,,,,,,,,,,,Offers durable plastic bottles which can be reused and refilled
Kaat,,Paptic,"04/07, Jishnu",Reusable Packaging,Reusable Packaging,Finland,https://paptic.com/contact/,https://paptic.com/?gad_source=1&gad_campaignid=22121461586&gbraid=0AAAAAC5QiuP5T8AO-7wZfLHLvrc3Yg9Ib&gclid=Cj0KCQjwjJrCBhCXARIsAI5x66V6nML48PlRHg-WDDS7sce3DtGDqoDaQLAzlfUP2gamq1HVLeu5IYMaAlH1EALw_wcB,Yes,,,,Active,Private,Reusable plastic alternatives from sustainable fibre materials,,,Finland,,,,,,,,Offers plastic alternatives that are reusable and based on sustainable materials
Mehak,,Paraguay Sin Basura (“Reduce” guide),low priority,Waste reduction and reuse tips,Public awareness,Paraguay,contacto@paraguaysinbasura.com,https://paraguaysinbasura.com/,,,,,,,,,,,,,,,,,,Promotes everyday refill and zero-waste swaps
Jishnu,,PAX Whole Foods & Eco Goods,"02/07, Jishnu",Zero Waste,Consumer Goods,Ireland,info@paxwholefoodsecogoods.com,https://www.paxwholefoodsecogoods.com/,Yes,,,,Active,Private,"Bulk organic groceries, cleaning, personal care + refill and reuse ethos",,,Ireland,,,,,,,,"Offers bulk organic groceries, cleaning items, personal care products and eco goods with refill and reuse ethos."
Sam,,Peerby,not suitable currently,Shared-use rental service,Consumer Goods ,Netherlands,support@peerby.com.,https://www.peerby.com/,Yes,peerby,Yes,2012,Active,Private,Community borrow and lend platform,,,Netherlands,,,,,,,,"Platform that enables users to borrow and lend items, encouraging reuse through community sharing."
Jishnu,,Pfaffhüsli,"03/07, Jishnu",Refill Stations,Consumer Goods,Switzerland,pfaffhuesli@ggaweb.ch,https://www.pfaffhuesli.ch/,,,,,,,,,,,,,,,,,,"Local bulk store offering food staples, household products, and hygiene items sold in refill stations."
Jishnu,,Pick n Pay,"26/06, Jishnu",Zero waste,Consumer Goods,South Africa,https://www.picknpayinvestor.co.za/contact-us.php,https://www.picknpayinvestor.co.za/news-article.php?articleID=13525,Yes,picknpay,Yes,1967,Active,Public listed (JSE: PIK),Retail chain with pilot zero-waste supermarket and reverse vending machines,,,South Africa,,,,,,,,Chain launching pilot zero waste supermarket providing bulk foods and rreverse vending machines that accept plastic glass and tin containers and reward returns through loyalty points program.
Giulia ,,Pimpant ,"04/07, Jishnu",Refillable Products ,Consumer goods ,France,‍‍hello@pimpant.com,https://www.pimpant.com/,Yes,,,,Active,Private,"B2C refillable cleaning, shower gel and toothpaste tablets",,,France,,,,,,,,"Offers refillable tabs for cleaning, shower gel and toothpaste "
Jishnu,,Pizza 4P’s,low priority,Zero Waste,Consumer Goods,Vietnam,info@pizza4ps.com,https://pizza4ps.com/vn/zero-waste/,,,,,,,,,,,,,,,,,,Operates farm to table restaurant with jar return programme and reusable packaging to pioneer a zero waste dining experience.
Prathmesh,,Plaine Products,"27/06, Jishnu",Refillable Products,Cleaning Products,United States, Orders@PlaineProducts.com,https://plaineproducts.com/,Yes,plaineproducts,Yes,2017,Active,Private,B2C subscription refillable personal care (same container reused via post),,,United States,,,,,,,,Aim to reduce single-use plastic by offering a subscription model through which customers can use the same refill containers
Giulia ,,Planet Organic,"01/07, Jishnu",Refillable Products,Consumer Goods,United Kingdom,enquiries@planetorganic.com,https://www.planetorganic.com/,Yes,planetorganic,Yes,1995,Active,Private,Organic grocery chain offering bulk refills and sustainability-focused goods,,,United Kingdom,,,,,,,,Organic grocery chain offering bulk refills and sustainability-focused goods.
Prathmesh,,Planet Renu,"24/06, Jishnu",Eco-Friendly Household Products,Reusable Packaging ,United States,planetrenu@gmail.com,https://planetrenu.com/,Yes,,,,Active,Private,Reusable organic cotton mesh bags for groceries packaging and travel,,,United States,,,,,,,,"Produces and supplies reusable mesh bags made from Eco-Friendly organic cotton for groeceries packaging, travel, etc "
Kaat,,Planet Reuse,not suitable currently,Reusable Packgaging,Packaging solutions ,Netherlands,info@planetreuse.eu,https://planetreuse.eu,Yes,,,,Active,Private,B2B reuse innovation partnership with businesses,,,Netherlands,,,,,,,,"B2B, works together with businesses to come up with innovative ideas for reuse "
Prathmesh,,Plantish Future,"01/07, Jishnu",Eco-Friendly Household Products,Consumer Goods,Canada,hello@plantishfuture.com,https://plantishfuture.com/,Yes,,,,Active,Private,B2C plastic-free plant-based home and beauty products with zero-waste shipping,,,Canada,,,,,,,,"Plastic‑free, plant-based home and beauty products with upcycled, zero‑waste shipping"
Kaat,,Plastic Free Life,"04/07, Jishnu",Eco-Friendly Products,Consumer Goods,Bulgaria,plasticfreelifebulgaria@gmail.com,https://plasticfreelife.bg,Yes,,,,Active,Private,Online eco-friendly goods shop — reuse and refills,,,Bulgaria,,,,,,,,"Online shop for eco-friendly goods, supports reuse and refills"
Jishnu,,Plastic Free Lisbon,"02/07, Jishnu",Zero Waste,Consumer Goods,Portugal,hello@plasticfreelisbon.com,https://plasticfreelisbon.com/,Yes,,,,Active,Private,Zero-waste e-commerce platform for refillable and plastic-free products,,,Portugal,,,,,,,,"Operates a zero-waste e-commerce platform offering refillable personal care, household essentials, and plastic-free alternatives."
Jishnu,,Pneedles,low priority,Reusable Products ,Consumer Goods,Nigeria,contact@pneedles.com,https://www.pneedles.com/,Yes,,,,Active,Private,Buttons and beads crafted from repurposed plastics (wearable material reuse),,,Nigeria,,,,,,,,"Crafts buttons and beads from repurposed plastics, enabling artisans to reuse materials in creative and lasting ways."
Kaat,,PolyLayerTech,not suitable currently,Reusable Packaging,Packaging solutions ,Italy,info@polylayertech.com,https://www.polylayertech.com/en/,,,,,,,,,,,,,,,,,,Focuses on creative Reusable Packaging solutions
Julia,,Precious Plastic Bangkok,low priority,Zero Waste,Consumer Goods,Thailand,preciousplasticth@gmail.com,https://www.preciousplasticth.org/,Yes,,,,Active,Non-profit,Community-driven plastic recycling hub,,,Thailand,,,,,,,,Community-driven hub for plastic recycling
